image,codec,level,bpp,ref_name,base_name,ours_name,num_vote_base,num_vote_ours,psnry_base,psnry_ours,vmaf_base,vmaf_ours,vifp_base,vifp_ours
kodim22,b2018,1,0.0273,kodim22.png,kodim22_b2018_base_1.png,kodim22_b2018_ours_1.png,7,40,25.5240,25.8189,13.0274,19.2187,0.3125,0.3255
kodim22,b2018,2,0.0581,kodim22.png,kodim22_b2018_base_2.png,kodim22_b2018_ours_2.png,13,34,27.2305,27.2372,39.0887,46.7351,0.4485,0.4790
kodim22,b2018,3,0.1827,kodim22.png,kodim22_b2018_base_3.png,kodim22_b2018_ours_3.png,17,30,30.2250,30.2627,67.0725,70.6165,0.6911,0.7254
kodim22,b2018,4,0.3245,kodim22.png,kodim22_b2018_base_4.png,kodim22_b2018_ours_4.png,18,29,32.3810,32.1114,77.5678,80.5530,0.8046,0.8318
kodim23,b2017,1,0.0517,kodim23.png,kodim23_b2017_base_1.png,kodim23_b2017_ours_1.png,5,42,28.3588,29.0008,31.3253,36.2637,0.5591,0.5987
kodim23,b2017,2,0.1407,kodim23.png,kodim23_b2017_base_2.png,kodim23_b2017_ours_2.png,17,30,33.0859,32.4869,66.8782,67.3688,0.7683,0.8013
kodim23,b2017,3,0.2046,kodim23.png,kodim23_b2017_base_3.png,kodim23_b2017_ours_3.png,16,31,34.6767,33.8586,74.6596,75.4934,0.8291,0.8623
kodim23,b2017,4,0.8715,kodim23.png,kodim23_b2017_base_4.png,kodim23_b2017_ours_4.png,16,31,40.3035,39.7425,92.6015,92.5845,0.9768,0.9784
kodim23,b2018,1,0.0252,kodim23.png,kodim23_b2018_base_1.png,kodim23_b2018_ours_1.png,6,41,27.0672,27.1884,21.3774,23.6945,0.4912,0.5042
kodim23,b2018,2,0.0643,kodim23.png,kodim23_b2018_base_2.png,kodim23_b2018_ours_2.png,19,28,30.7544,30.7653,53.7212,54.0611,0.6278,0.7063
kodim23,b2018,3,0.1130,kodim23.png,kodim23_b2018_base_3.png,kodim23_b2018_ours_3.png,17,30,34.0335,33.0442,72.5099,73.7056,0.7701,0.8266
kodim23,b2018,4,0.3599,kodim23.png,kodim23_b2018_base_4.png,kodim23_b2018_ours_4.png,24,23,39.7868,36.9710,90.9863,88.8020,0.9400,0.9571
kodim24,b2017,1,0.0522,kodim24.png,kodim24_b2017_base_1.png,kodim24_b2017_ours_1.png,8,39,23.6075,24.1093,14.6109,22.9573,0.3788,0.4443
kodim24,b2017,2,0.2656,kodim24.png,kodim24_b2017_base_2.png,kodim24_b2017_ours_2.png,29,18,27.2222,27.7015,56.2810,58.0740,0.7267,0.7304
kodim24,b2017,3,0.3856,kodim24.png,kodim24_b2017_base_3.png,kodim24_b2017_ours_3.png,17,30,28.6379,28.8611,63.5262,66.9071,0.7958,0.8164
kodim24,b2017,4,0.6014,kodim24.png,kodim24_b2017_base_4.png,kodim24_b2017_ours_4.png,16,31,30.2959,30.7342,74.0349,76.2955,0.8630,0.8917
kodim24,b2018,1,0.0411,kodim24.png,kodim24_b2018_base_1.png,kodim24_b2018_ours_1.png,14,33,23.5054,23.7601,17.5390,23.6056,0.3655,0.3947
kodim24,b2018,2,0.1352,kodim24.png,kodim24_b2018_base_2.png,kodim24_b2018_ours_2.png,7,40,26.1508,26.3053,49.3724,56.3520,0.5787,0.6165
kodim24,b2018,3,0.4860,kodim24.png,kodim24_b2018_base_3.png,kodim24_b2018_ours_3.png,18,29,31.7504,31.6265,76.6888,81.2520,0.8501,0.8793
kodim24,b2018,4,0.6002,kodim24.png,kodim24_b2018_base_4.png,kodim24_b2018_ours_4.png,20,27,32.7377,32.7027,79.7396,83.3888,0.8795,0.9048
